id,name,nba_player_id,overall,photo_url,player_page_url
"P0262","Tyler Kolek","1642278","71","https://cdn.nba.com/headshots/nba/latest/1040x760/1642278.png","https://www.nba.com/player/1642278"
"P0263","Christian Koloko","1631132","72","https://cdn.nba.com/headshots/nba/latest/1040x760/1631132.png","https://www.nba.com/player/1631132"
"P0264","John Konchar","1629723","73","https://cdn.nba.com/headshots/nba/latest/1040x760/1629723.png","https://www.nba.com/player/1629723"
"P0265","Luke Kornet","1628436","","https://cdn.nba.com/headshots/nba/latest/1040x760/1628436.png","https://www.nba.com/player/1628436"
"P0266","Vít Krejčí","1630249","73","https://cdn.nba.com/headshots/nba/latest/1040x760/1630249.png","https://www.nba.com/player/1630249"
"P0267","Jonathan Kuminga","1630228","78","https://cdn.nba.com/headshots/nba/latest/1040x760/1630228.png","https://www.nba.com/player/1630228"
"P0268","Kyle Kuzma","1628398","77","https://cdn.nba.com/headshots/nba/latest/1040x760/1628398.png","https://www.nba.com/player/1628398"
"P0269","Jock Landale","1629111","74","https://cdn.nba.com/headshots/nba/latest/1040x760/1629111.png","https://www.nba.com/player/1629111"
"P0270","Chaz Lanier","1642404","","https://cdn.nba.com/headshots/nba/latest/1040x760/1642404.png","https://www.nba.com/player/1642404"
"P0271","Jake LaRavia","1631222","","https://cdn.nba.com/headshots/nba/latest/1040x760/1631222.png","https://www.nba.com/player/1631222"
"P0272","Pelle Larsson","1641796","74","https://cdn.nba.com/headshots/nba/latest/1040x760/1641796.png","https://www.nba.com/player/1641796"
"P0273","Zach LaVine","203897","85","https://cdn.nba.com/headshots/nba/latest/1040x760/203897.png","https://www.nba.com/player/203897"
"P0274","A.J. Lawson","1630639","73","https://cdn.nba.com/headshots/nba/latest/1040x760/1630639.png","https://www.nba.com/player/1630639"
